prompt_id,prompt_title,category,metric,mean,median,std_dev,cv_percent,ci_low,ci_high,min_val,max_val,n_runs,reliability
expert_guidance_quality,C4. Expert Guidance Quality,skill,help_appropriate_timing,2.6,2.5,1.102,42.4,2.206,2.994,0.0,5.0,30,low
expert_guidance_quality,C4. Expert Guidance Quality,skill,help_too_early,1.6,1.0,0.814,50.9,1.309,1.891,1.0,4.0,30,low
expert_guidance_quality,C4. Expert Guidance Quality,skill,help_too_late,1.533,1.0,0.776,50.6,1.256,1.811,1.0,3.0,30,low
expert_guidance_quality,C4. Expert Guidance Quality,skill,questions_dismissed,3.8,4.0,0.961,25.3,3.456,4.144,2.0,6.0,30,low
expert_guidance_quality,C4. Expert Guidance Quality,skill,questions_welcomed,3.2,3.0,0.714,22.3,2.944,3.456,1.0,4.0,30,low
expert_guidance_quality,C4. Expert Guidance Quality,skill,tell_without_asking,7.333,8.0,1.155,15.7,6.92,7.747,4.0,8.0,30,moderate
relationship_health,C5. Relationship Health,skill,attunement_breaks,3.367,3.0,0.765,22.7,3.093,3.64,2.0,5.0,30,low
relationship_health,C5. Relationship Health,skill,attunement_signals,6.2,6.0,1.126,18.2,5.797,6.603,3.0,8.0,30,moderate
relationship_health,C5. Relationship Health,skill,relationship_health_score,40.837,50.0,22.662,55.5,32.727,48.946,4.4,65.0,30,low
relationship_health,C5. Relationship Health,skill,respect_signals,4.3,5.0,1.119,26.0,3.9,4.7,2.0,6.0,30,low
relationship_health,C5. Relationship Health,skill,significance_signals,2.567,3.0,0.817,31.8,2.274,2.859,1.0,3.0,30,low
relationship_health,C5. Relationship Health,skill,trust_signals,3.8,4.0,0.484,12.7,3.627,3.973,3.0,5.0,30,moderate
relationship_health,C5. Relationship Health,skill,warmth_signals,1.967,2.0,0.183,9.3,1.901,2.032,1.0,2.0,30,high
