prompt_id,prompt_title,category,metric,mean,median,std_dev,cv_percent,ci_low,ci_high,min_val,max_val,n_runs,reliability
expert_guidance_quality,expert_guidance_quality,skill,guidance_task_partial_match,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1,insufficient_runs
expert_guidance_quality,expert_guidance_quality,skill,help_appropriate_timing,2.943,3.0,0.936,31.8,2.837,3.049,0.0,5.0,300,low
expert_guidance_quality,expert_guidance_quality,skill,help_inappropriately_deferred,3.0,3.0,0,0.0,3.0,3.0,3.0,3.0,1,insufficient_runs
expert_guidance_quality,expert_guidance_quality,skill,help_too_early,1.547,1.0,0.665,43.0,1.471,1.622,0.0,4.0,300,low
expert_guidance_quality,expert_guidance_quality,skill,help_too_late,1.503,1.0,0.734,48.8,1.42,1.586,1.0,3.0,300,low
expert_guidance_quality,expert_guidance_quality,skill,questions_dismissed,3.947,4.0,0.824,20.9,3.853,4.04,2.0,8.0,300,low
expert_guidance_quality,expert_guidance_quality,skill,questions_welcomed,3.227,3.0,0.737,22.9,3.143,3.31,1.0,7.0,300,low
expert_guidance_quality,expert_guidance_quality,skill,tell_without_asking,7.443,8.0,1.079,14.5,7.321,7.565,2.0,9.0,300,moderate
relationship_health,relationship_health,skill,attunement_breaks,3.367,3.0,0.749,22.2,3.282,3.451,1.0,6.0,300,low
relationship_health,relationship_health,skill,attunement_signals,5.74,6.0,1.066,18.6,5.619,5.861,3.0,9.0,300,moderate
relationship_health,relationship_health,skill,relationship_health_score,37.96,47.0,25.198,66.4,35.109,40.811,4.4,82.0,300,low
relationship_health,relationship_health,skill,respect_signals,4.307,5.0,1.005,23.3,4.193,4.42,2.0,6.0,300,low
relationship_health,relationship_health,skill,significance_signals,2.51,3.0,0.867,34.6,2.412,2.608,1.0,6.0,300,low
relationship_health,relationship_health,skill,trust_signals,3.717,4.0,0.52,14.0,3.658,3.776,2.0,5.0,300,moderate
relationship_health,relationship_health,skill,warmth_signals,1.997,2.0,0.173,8.7,1.977,2.016,1.0,3.0,300,high
